지역,특구명,위도,경도,혜택
서울 동대문구,서울 약령시한방산업특구,37.5781,127.0377,"한방바이오 산업 육성, 한방 관련 시설 설치 규제 완화, 관광 인프라 구축, 경영안정자금 지원"
서울 영등포구,영등포 스마트메디컬특구,37.5209,126.9131,"외국인 의료진 비자 발급 간소화, 의료관광 기반시설 조성, 의료기관 도로점용 허가 유연화, 의료관광 홍보 지원"
부산 해운대구,해운대 컨벤션·영상·해양레저특구,35.1631,129.1635,"컨벤션 산업 육성(법인세 감면 5년간 50%), 영화촬영 도로통제 허가 간소화, 요트장업 허가권 이양"
부산 서구,서구 글로벌 하이 메디허브특구,35.0834,129.0208,"외국인 환자 전용 병실 설치 규제 완화, 의료R&D 클러스터 조성(용적률 150% 완화), 의료관광 모바일 플랫폼 구축"
대구 중구,대구 패션주얼리특구,35.8703,128.5945,"귀금속 제조·판매 지원(부가세 감면 10%), 국제 주얼리 박람회 개최 지원, 환경정비사업 규제 완화"
대구 북구,대구 안경산업특구,35.944,128.5667,"안경산업지원센터 운영 및 신소재 개발 지원(연구비 세액공제 15%), 국제안경전 개최 시 공공장소 사용료 감면"
인천 서구,인천 서구 외국어교육특구,37.5459,126.6757,"외국어 교육기관 설립 시 취득세 50% 감면, 외국인 교사 고용 절차 간소화"
광주 광산구,광주 우리밀산업특구,35.1399,126.793,"우리밀 가공시설 설치비 보조(30%), 친환경 인증 농가 연간 최대 500만 원 지원"
경기 이천시,이천 도자산업특구,37.2791,127.4429,"도자기 수출 관세 면제(100%), 전통공예품 판매 부가세 감면(5%p), 도자기 축제 개최 지원"
경기 고양시,고양 화훼산업특구,37.6584,126.832,화훼 유통 및 산업 육성 지원(유통시설 건축 승인기간 단축)
경기 성남시,성남 판교 게임·콘텐츠 특구,37.3943,127.1108,게임·콘텐츠 기업 창업 지원 및 세제 혜택 제공
강원 원주시,원주 옻·한지산업 특구,37.3422,127.9208,옻칠 및 한지 전통 산업 육성(관련 시설 설립 허가 간소화)
충북 충주시,충북 태양광 특구,36.991,127.9263,"태양광 패널 설치 취득세 감면(3년간 최대 70%), 태양광 연구개발 투자 세액공제 제공"
충남 금산군,금산 인삼헬스케어특구,36.1086,127.488,인삼 헬스케어 제품 개발 지원 및 관련 기업 세제 혜택 제공
전북 부안군,부안 신재생에너지산업클러스터특구,35.7312,126.7333,"신재생에너지 연구개발 클러스터 조성(환경영향평가 면제), R&D 투자 법인세 공제(최대 25%)"
전북 임실군,임실엔치즈·낙농특구,35.6165,127.2888,치즈 및 낙농 산업 육성(설비 투자 시 세제 혜택 제공)
