거리명,거리소개,소재지도로명,소재지지번주소,위도,경도,총길이,점포수,지정연도,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
강풀만화거리,지역 유명 작가의 만화(웹툰)과 마을 이야기를공공미술로 재구성한 이야기 골목길,서울시 강동구 천호대로 164길 4-1,서울특별시 강동구 성내동 160-18번지,37.5360829,127.1280477,1000.0,40,2013,3425-6130,서울특별시 강동구청 도시경관과,2023-08-18,3240000,서울특별시 강동구
문화의 거리,시장활성화+특색있는 거리 조성+보행환경개선를 위해 2009년도 조성,경상북도 영주시 구성로350번길,경상북도 영주시 영주동 377-3,36.8239565,128.6240847,245.0,170,2009,054-639-6662,경상북도 영주시청,2023-07-20,5090000,경상북도 영주시
녹동 음식특화거리,녹동구항 음식거리 일부를 유럽풍의 옥외음식 영업가능 거리로 조성,전라남도 고흥군 도양읍 비봉로 177,전라남도 고흥군 도양읍 봉암리 2786,34.5256702381,127.1357485953,90.0,12,2017,061-830-5442,전라남도 고흥군청,2023-12-07,4880000,전라남도 고흥군
창동 먹자골,음식점 특화거리,경기도 여주시 세종로 40번길 15,경기도 여주시 창동 146-3,37.2948487017,127.634332975,200.0,80,2012,031-887-2272,경기도 여주시청,2023-11-15,5700000,경기도 여주시
한재미나리와삼겹살거리,"청도 남산과 화악산 사이의 계곡을 따라 형성된 거리로 맑고 풍부한 지하수와 충분한 햇볕을 받아 자라 비타민과 무기질, 섬유질 함량이 풍부하여 해독과 혈액을 정화시키는데 좋은 알카리성 식품인 미나리와 뜨겁고 기름진 삼겹살은 음식 궁합이 잘 맞아 한재미나리와 삼겹살 음식점들이 전국적인 명성을 얻으며 성업 중인 곳임",경상북도 청도군 청도읍 새마을로 149-42,경상북도 청도군 청도읍 초현리 243-3,35.5734444,128.7580072,4230.0,25,2018,054-370-6172,경상북도 청도군청,2024-08-12,5190000,경상북도 청도군
40계단문화관광테마거리,6.25피난민들의 애환이 살아있는 40계단주변 테마거리,부산광역시 중구 중앙대로 73,,35.1039176,129.0324054,1697.0,65,2002,051-600-4042,부산광역시 중구청,2024-08-12,3250000,부산광역시 중구
영화의거리,121년의 역사를 가진 부산영화의 메카로서 부산국제영화제가 탄생한 영화거리(BIFF광장 일원),부산광역시 중구 비프광장로 20,,35.098738,129.027566,400.0,100,1996,051-600-4062,부산광역시 중구청,2024-08-12,3250000,부산광역시 중구
충무동 골목시장 고갈비특화거리,"충무동 골목시장에 추억의 향토음식인 고갈비를 특화한 거리로 골목시장 사거리에 있는 일명 파전골목을 기존 건물의 간판 등을 모두 철거·정비하고, 시장아치, 유도사인물 보수와 리모델링하여 고갈비전문 음식점 (12개 업소와 7개 이동식판매대)으로 변모하여 손님 맞이에 나서고 있다",부산광역시 서구 충무시장길 30(충무동1가),부산광역시 서구 충무동1가 29-1,35.09513362,129.0233074,568.0,98,2017,051-240-4475,부산광역시서구청,2024-11-20,3260000,부산광역시 서구
영천한방테마거리,영천한의마을 한방테마거리는 한방도시 영천에 대한 다양한 정보를 얻을 수 있는 영천 홍보관과 사상체질 진단체험을 통해 자신의 체질 정보를 확인하고 체험자에게 맞는 한약재와 약선음식 정보를 알아볼 수 있는 한의원과 옛날 한약방 한방체험실로 구성되어 있습니다.,경상북도 영천시 천문로 485,경상북도 영천시 화룡동 128,35.9775462,128.9218414,540.123,3,2018,054-330-2750,경상북도 영천시 시설관리공단,2024-11-20,5100000,경상북도 영천시
운연동 추어마을,"원래는 농촌마을이었으나 논에 미꾸라지가 많이 잡히면서 마을 주민들이 추어탕을 즐겨 만들어 먹었음. 서울식,남도식,원주식 등 손님의 입맛에 맞게 고를수 있는 추어탕 음식점이 밀집되어있어 2006년 특색음식거리로 지정",인천광역시 남동구 수인로 3536,인천광역시 남동구 운연동 40-15,,,392.0,10,2006,032-453-8472,인천광역시 남동구청,2024-11-18,3530000,인천광역시 남동구
