지역,사업명,산업분야,현행 규제내용,완화된 규제내용
부산,블록체인,정보통신,위·변조 가능한 금융거래 시스템,"콜드체인 화물차 허가 특례, 개인정보/위치정보 파기 특례, 전자금융거래기록 파기 특례"
충북,스마트 안전제어,정보통신,유선 중심 안전관리 시스템,무선기반 가스용품 스마트 안전차단 제어기술 실증
경북,배터리 리사이클링,자원·에너지,폐배터리 처리 기준 미비,"전기차 폐배터리 재사용 기준 마련, 재제조 제품 목록 추가 특례"
울산,수소 그린 모빌리티,자원·에너지,수소연료전지 장비 사용 제한,수소연료전지 물류장비·소형선박 상용화 특례
전남,에너지 신산업,자원·에너지,분산전원 연계 기술 표준 미비,MVDC 기술 표준화 실증특례
강원,액화수소산업,자원·에너지,액화수소 인프라 구축 제한,액화수소 생산·저장·충전 인프라 구축 특례
충남,수소에너지,자원·에너지,가정용 수소시스템 사용 제한,가정용 수소연료전지 발전시스템 실증특례
광주,그린에너지 ESS 발전,자원·에너지,전력직거래 시장 접근 제한,ESS 전력거래 시장 연계 실증특례
울산,이산화탄소 자원화,자원·에너지,CO₂ 전환물 폐기처분 의무,이산화탄소전환탄산화물 제품화 특례
충북,그린수소,자원·에너지,수소 생산원료 제한,바이오가스·암모니아 기반 수소 생산 특례
충남,탄소저감 건설소재,자원·에너지,탈황석고 활용 제한,탈황석고 활용 CO₂ 저감 기술 상용화 특례
부산,암모니아 친환경에너지,자원·에너지,선박 연료 사용 규제,암모니아 연료전지 하이브리드 선박 실증 특례
경북,전기차 차세대 무선충전,친환경 이동수단,충전방식 표준화 미비,고출력 무선충전기술 실증 특례
강원,미이용 산림 바이오매스 청정수소,자원·에너지,바이오매스 활용 제한,산림 바이오매스 청정수소 제조 기술 실증
충남,그린 암모니아 활용 수소발전,자원·에너지,암모니아 연료전지 설치 규제,암모니아 직공급 연료전지 설치 허용
세종,자율주행실증,자율 교통,도심 자율주행 서비스 제한,도심형 전용공간 자율주행 서비스 실증
경남,무인선박,자율 교통,선박 무인화 기술 검증 미비,무인선박 실증특례
광주,무인저속 특장차,자율 교통,폐기물 수거 자동화 제한,무인저속특장차 실증특례
전북,친환경 자동차,친환경 이동수단,상용차 친환경화 기준 강화,친환경 특장차 개발 특례
제주,전기차 충전서비스,친환경 이동수단,충전 인프라 표준 미비,충전서비스 표준화 특례
대구,스마트 웰니스,바이오·의료,의료기기 제조 시설 공유 제한,의료기기 제조 인프라 공유 허용
경북,세포배양식품,바이오·의료,세포배양식품 기술 표준 미비,해조류 기반 배양육 기술 표준화
